photo,title,city,state,country,latitude,longitude
geotagged/GOPR1420.JPG,2,<a href=geotagged/GOPR1420.JPG target=_blank><img src =geotagged/thumb/GOPR1420.JPG width=200></a><br>45.0917-12.2942,Cycloscope Project,5,45.0917,12.2942
geotagged/GOPR1430.JPG,2,<a href=geotagged/GOPR1430.JPG target=_blank><img src =geotagged/thumb/GOPR1430.JPG width=200></a><br>45.118-12.3072,Cycloscope Project,5,45.118,12.3072
geotagged/GOPR1440.JPG,2,<a href=geotagged/GOPR1440.JPG target=_blank><img src =geotagged/thumb/GOPR1440.JPG width=200></a><br>45.1134-12.2653,Cycloscope Project,5,45.1134,12.2653
geotagged/GOPR1450.JPG,2,<a href=geotagged/GOPR1450.JPG target=_blank><img src =geotagged/thumb/GOPR1450.JPG width=200></a><br>45.1124-12.2459,Cycloscope Project,5,45.1124,12.2459
geotagged/GOPR1460.JPG,2,<a href=geotagged/GOPR1460.JPG target=_blank><img src =geotagged/thumb/GOPR1460.JPG width=200></a><br>45.1365-12.258,Cycloscope Project,5,45.1365,12.258
geotagged/GOPR1470.JPG,2,<a href=geotagged/GOPR1470.JPG target=_blank><img src =geotagged/thumb/GOPR1470.JPG width=200></a><br>45.159-12.2685,Cycloscope Project,5,45.159,12.2685
geotagged/GOPR1480.JPG,2,<a href=geotagged/GOPR1480.JPG target=_blank><img src =geotagged/thumb/GOPR1480.JPG width=200></a><br>45.1802-12.272,Cycloscope Project,5,45.1802,12.272
geotagged/GOPR1490.JPG,2,<a href=geotagged/GOPR1490.JPG target=_blank><img src =geotagged/thumb/GOPR1490.JPG width=200></a><br>45.1961-12.2824,Cycloscope Project,5,45.1961,12.2824
geotagged/GOPR1500.JPG,2,<a href=geotagged/GOPR1500.JPG target=_blank><img src =geotagged/thumb/GOPR1500.JPG width=200></a><br>45.216-12.289,Cycloscope Project,5,45.216,12.289
geotagged/GOPR1510.JPG,2,<a href=geotagged/GOPR1510.JPG target=_blank><img src =geotagged/thumb/GOPR1510.JPG width=200></a><br>45.2704-12.3018,Cycloscope Project,5,45.2704,12.3018
geotagged/GOPR1520.JPG,2,<a href=geotagged/GOPR1520.JPG target=_blank><img src =geotagged/thumb/GOPR1520.JPG width=200></a><br>45.2923-12.3057,Cycloscope Project,5,45.2923,12.3057
geotagged/GOPR1530.JPG,2,<a href=geotagged/GOPR1530.JPG target=_blank><img src =geotagged/thumb/GOPR1530.JPG width=200></a><br>45.3103-12.3136,Cycloscope Project,5,45.3103,12.3136
geotagged/GOPR1540.JPG,2,<a href=geotagged/GOPR1540.JPG target=_blank><img src =geotagged/thumb/GOPR1540.JPG width=200></a><br>45.3269-12.3205,Cycloscope Project,5,45.3269,12.3205
geotagged/GOPR1550.JPG,2,<a href=geotagged/GOPR1550.JPG target=_blank><img src =geotagged/thumb/GOPR1550.JPG width=200></a><br>45.3262-12.3219,Cycloscope Project,5,45.3262,12.3219
geotagged/GOPR1560.JPG,2,<a href=geotagged/GOPR1560.JPG target=_blank><img src =geotagged/thumb/GOPR1560.JPG width=200></a><br>45.3328-12.3167,Cycloscope Project,5,45.3328,12.3167
geotagged/GOPR1570.JPG,2,<a href=geotagged/GOPR1570.JPG target=_blank><img src =geotagged/thumb/GOPR1570.JPG width=200></a><br>45.3246-12.3191,Cycloscope Project,5,45.3246,12.3191
geotagged/GOPR1580.JPG,2,<a href=geotagged/GOPR1580.JPG target=_blank><img src =geotagged/thumb/GOPR1580.JPG width=200></a><br>45.3298-12.3206,Cycloscope Project,5,45.3298,12.3206
geotagged/GOPR1590.JPG,2,<a href=geotagged/GOPR1590.JPG target=_blank><img src =geotagged/thumb/GOPR1590.JPG width=200></a><br>45.3498-12.3243,Cycloscope Project,5,45.3498,12.3243
geotagged/GOPR1600.JPG,2,<a href=geotagged/GOPR1600.JPG target=_blank><img src =geotagged/thumb/GOPR1600.JPG width=200></a><br>45.3742-12.3385,Cycloscope Project,5,45.3742,12.3385
geotagged/GOPR1610.JPG,2,<a href=geotagged/GOPR1610.JPG target=_blank><img src =geotagged/thumb/GOPR1610.JPG width=200></a><br>45.3961-12.3567,Cycloscope Project,5,45.3961,12.3567
geotagged/GOPR1620.JPG,2,<a href=geotagged/GOPR1620.JPG target=_blank><img src =geotagged/thumb/GOPR1620.JPG width=200></a><br>45.4474-12.4242,Cycloscope Project,5,45.4474,12.4242
geotagged/GOPR1630.JPG,2,<a href=geotagged/GOPR1630.JPG target=_blank><img src =geotagged/thumb/GOPR1630.JPG width=200></a><br>45.4569-12.4544,Cycloscope Project,5,45.4569,12.4544
geotagged/GOPR1640.JPG,2,<a href=geotagged/GOPR1640.JPG target=_blank><img src =geotagged/thumb/GOPR1640.JPG width=200></a><br>45.4681-12.4904,Cycloscope Project,5,45.4681,12.4904
geotagged/GOPR1650.JPG,2,<a href=geotagged/GOPR1650.JPG target=_blank><img src =geotagged/thumb/GOPR1650.JPG width=200></a><br>45.477-12.5286,Cycloscope Project,5,45.477,12.5286
geotagged/GOPR1660.JPG,2,<a href=geotagged/GOPR1660.JPG target=_blank><img src =geotagged/thumb/GOPR1660.JPG width=200></a><br>45.4827-12.562,Cycloscope Project,5,45.4827,12.562
geotagged/GOPR1670.JPG,2,<a href=geotagged/GOPR1670.JPG target=_blank><img src =geotagged/thumb/GOPR1670.JPG width=200></a><br>45.4888-12.5896,Cycloscope Project,5,45.4888,12.5896
geotagged/GOPR1680.JPG,2,<a href=geotagged/GOPR1680.JPG target=_blank><img src =geotagged/thumb/GOPR1680.JPG width=200></a><br>45.4861-12.598,Cycloscope Project,5,45.4861,12.598
